suite,scope,level,contrast,scenario_count,seed_block_count,seed_block_mean,episode_median,bootstrap_ci_low,bootstrap_ci_high,win,tie,loss,bootstrap_unit
battlefield_structure,condition,uniform/D20,P-B4,64,64,0.009655314074408217,-0.0024970339127377006,-0.003032580864325153,0.023108718191653874,30,0,34,shared seed block
battlefield_structure,condition,uniform/D40,P-B4,64,64,0.0019533794021828824,0.0026342415090306465,-0.010026458573970219,0.013812822129285219,33,0,31,shared seed block
battlefield_structure,condition,uniform/D60,P-B4,64,64,0.019664857355603717,0.019963541670118254,0.010976292378433382,0.028467571093559203,45,0,19,shared seed block
battlefield_structure,condition,value_correlated/D00,P-B4,64,64,0.008162920876862045,0.0016336616925387987,0.00020375122202157073,0.01597554843032287,35,0,29,shared seed block
battlefield_structure,condition,value_correlated/D20,P-B4,64,64,0.013765474676522612,0.01799155357544012,0.004078582553377761,0.02331590590237537,41,0,23,shared seed block
battlefield_structure,condition,value_correlated/D40,P-B4,64,64,0.005060067656728816,0.008432961077967024,-0.006178564436581586,0.015882711066981844,35,0,29,shared seed block
battlefield_structure,condition,value_correlated/D60,P-B4,64,64,0.0023050335804724155,0.0045766149990836315,-0.0051546160570048434,0.009492844693344247,33,0,31,shared seed block
battlefield_structure,condition,clustered/D00,P-B1m,64,64,0.0031373454156537793,-0.002053015262465291,-0.009457074434443418,0.016260135799823452,30,0,34,shared seed block
battlefield_structure,condition,clustered/D20,P-B1m,64,64,0.012241220589758448,0.009536079363335698,-0.000805261228036513,0.02568855798423502,38,0,26,shared seed block
battlefield_structure,condition,clustered/D40,P-B1m,64,64,-0.0011911015152977584,0.0097182221103283,-0.012511417618101737,0.010287774960089535,34,0,30,shared seed block
battlefield_structure,condition,clustered/D60,P-B1m,64,64,0.04982968101413385,0.04806074573830224,0.03692279572839731,0.06306079293003658,54,0,10,shared seed block
battlefield_structure,condition,mixed/D00,P-B1m,64,64,0.0028174572304213116,0.00243190922020059,-0.009422076055436782,0.015359837234042632,37,0,27,shared seed block
battlefield_structure,condition,mixed/D20,P-B1m,64,64,0.008944524346221425,0.0076130020313150415,-0.0054644349079449595,0.02324493354646996,37,0,27,shared seed block
battlefield_structure,condition,mixed/D40,P-B1m,64,64,-0.0018650259014585191,0.0033580821078192033,-0.0139105099064274,0.010156622912827746,35,0,29,shared seed block
battlefield_structure,condition,mixed/D60,P-B1m,64,64,0.042994671241035204,0.03617729678210141,0.0313330294488122,0.05488058387206222,56,0,8,shared seed block
battlefield_structure,condition,uniform/D00,P-B1m,64,64,0.0020759265453309137,-0.0008554056689305534,-0.008050382726513716,0.012742034928329161,32,0,32,shared seed block
battlefield_structure,condition,uniform/D20,P-B1m,64,64,0.013219466895418617,0.009764316670281312,-0.00017394204405668913,0.027101633163672843,36,0,28,shared seed block
battlefield_structure,condition,uniform/D40,P-B1m,64,64,-0.0008243422161259063,0.009790134900980477,-0.013192779108468321,0.011484665367154564,38,0,26,shared seed block
battlefield_structure,condition,uniform/D60,P-B1m,64,64,0.04746577149511065,0.04558614827844477,0.03817759784845226,0.057023872161060356,57,0,7,shared seed block
battlefield_structure,condition,value_correlated/D00,P-B1m,64,64,0.0028605401058722953,0.0017769718827723158,-0.006940425503260235,0.012744100389213774,33,0,31,shared seed block
battlefield_structure,condition,value_correlated/D20,P-B1m,64,64,0.005213645662163775,0.004813341490744014,-0.006145306180198076,0.01691437947265585,34,0,30,shared seed block
battlefield_structure,condition,value_correlated/D40,P-B1m,64,64,0.014800085901071472,0.013474060458615853,0.0003199058779252113,0.029323731499741698,39,0,25,shared seed block
battlefield_structure,condition,value_correlated/D60,P-B1m,64,64,0.04687241639520312,0.03481352185731228,0.03453436402308314,0.05919006148209868,56,0,8,shared seed block
battlefield_structure,condition,clustered/D00,P-SCBBA,64,64,0.032706158639395376,-0.002053015262465291,0.005932475552876124,0.06356281363200528,31,0,33,shared seed block
battlefield_structure,condition,clustered/D20,P-SCBBA,64,64,0.04109433417748759,0.021934491695048852,0.018016565639048517,0.06741037585083338,42,0,22,shared seed block
battlefield_structure,condition,clustered/D40,P-SCBBA,64,64,0.019371658194402765,0.012459714292345478,0.0028369397845986787,0.03764024963010158,40,0,24,shared seed block
battlefield_structure,condition,clustered/D60,P-SCBBA,64,64,0.05400245191215809,0.04678990760820268,0.03902657681985826,0.06950727479273386,51,0,13,shared seed block
battlefield_structure,condition,mixed/D00,P-SCBBA,64,64,0.029781990751836664,0.004119975293599282,0.00529154221999449,0.05736364908004929,38,0,26,shared seed block
battlefield_structure,condition,mixed/D20,P-SCBBA,64,64,0.032096328493416856,0.011269340943324713,0.009052402862695532,0.05796303571927296,39,0,25,shared seed block
