scenario_id,cell_id,p_bda_count,bda_group,delta_normalized_utility,delta_destroyed_value,delta_service_cost,delta_distance_cost,delta_ammo_cost,delta_realized_utility,delta_invalid_attack,delta_initial_wreck_attack,utility_identity_residual,ecdf
D2-N3-M3-Rtight-S1174,N3-M3-Rtight,1,1,-0.00378637414959725,0.0,0.8708660544073674,0.0,0.0,-0.8708660544073679,0,0,4.440892098500626e-16,0.474853515625
D2-N3-M3-Rtight-S1408,N3-M3-Rtight,1,1,-0.003786225384538988,0.0,0.8708318384439853,0.0,0.0,-0.8708318384439764,0,0,-8.881784197001252e-15,0.47509765625
D2-N2-M3-Rtight-S1270,N2-M3-Rtight,1,1,-0.0037826508046109562,0.0,0.8700096850605197,0.0,0.0,-0.8700096850605199,0,0,2.220446049250313e-16,0.475341796875
D2-N3-M3-Rloose-S1439,N3-M3-Rloose,1,1,-0.003779326030507957,0.0,0.8692449870168169,0.0,0.0,-0.8692449870168275,0,0,1.0658141036401503e-14,0.4755859375
D2-N2-M3-Rtight-S1116,N2-M3-Rtight,1,1,-0.003776809897385547,0.0,0.8686662763986712,0.0,0.0,-0.8686662763986703,0,0,-8.881784197001252e-16,0.475830078125
D2-N2-M3-Rtight-S1449,N2-M3-Rtight,1,1,-0.0037735473746282056,0.0,0.8679158961644973,0.0,0.0,-0.8679158961644902,0,0,-7.105427357601002e-15,0.47607421875
D2-N3-M3-Rtight-S1165,N3-M3-Rtight,1,1,-0.003772088405044366,0.0,0.8675803331602072,0.0,0.0,-0.8675803331602054,0,0,-1.7763568394002505e-15,0.476318359375
D2-N3-M3-Rtight-S1272,N3-M3-Rtight,1,1,-0.0037716893584530953,0.0,1.131506807535926,0.0,0.0,-1.1315068075359278,0,0,1.7763568394002505e-15,0.4765625
D2-N2-M3-Rloose-S1130,N2-M3-Rloose,1,1,-0.0037698897488255556,0.0,0.8670746422298778,0.0,0.0,-0.8670746422298778,0,0,0.0,0.476806640625
D2-N3-M3-Rloose-S1127,N3-M3-Rloose,1,1,-0.0037690331728484905,0.0,0.8668776297551588,0.0,0.0,-0.8668776297551517,0,0,-7.105427357601002e-15,0.47705078125
D2-N2-M3-Rloose-S1443,N2-M3-Rloose,1,1,-0.0037672993972623914,0.0,0.8664788613703465,0.0,0.0,-0.8664788613703394,0,0,-7.105427357601002e-15,0.477294921875
D2-N2-M3-Rtight-S1424,N2-M3-Rtight,1,1,-0.003761414104445547,0.0,0.8651252440224759,0.0,0.0,-0.8651252440224759,0,0,0.0,0.4775390625
D2-N3-M3-Rloose-S1235,N3-M3-Rloose,1,1,-0.00376137409126176,0.0,0.8651160409902019,0.0,0.0,-0.8651160409902019,0,0,0.0,0.477783203125
D2-N3-M3-Rtight-S1493,N3-M3-Rtight,1,1,-0.003761334242783576,0.0,0.8651068758402278,0.0,0.0,-0.865106875840226,0,0,-1.7763568394002505e-15,0.47802734375
D2-N2-M3-Rtight-S1290,N2-M3-Rtight,1,1,-0.00375471716015913,0.0,0.8635849468365999,0.0,0.0,-0.8635849468366001,0,0,2.220446049250313e-16,0.478271484375
D2-N3-M3-Rloose-S1406,N3-M3-Rloose,1,1,-0.0037516706521631624,0.0,0.8628842499975271,0.0,0.0,-0.8628842499975273,0,0,2.220446049250313e-16,0.478515625
D2-N2-M3-Rtight-S1166,N2-M3-Rtight,1,1,-0.003751647569908201,0.0,1.1254942709724594,0.0,0.0,-1.1254942709724602,0,0,8.881784197001252e-16,0.478759765625
D2-N2-M3-Rloose-S1398,N2-M3-Rloose,1,1,-0.0037497210298944247,0.0,0.8624358368757172,0.0,0.0,-0.8624358368757177,0,0,4.440892098500626e-16,0.47900390625
D2-N2-M3-Rloose-S1259,N2-M3-Rloose,1,1,-0.003748844195274381,0.0,0.862234164913108,0.0,0.0,-0.8622341649131045,0,0,-3.552713678800501e-15,0.479248046875
D2-N2-M5-Rloose-S1374,N2-M5-Rloose,3,2+,-0.0037467645815222744,0.0,2.266836753901405,-0.3934544631402772,0.0,-1.8733822907611284,0,0,6.661338147750939e-16,0.4794921875
D2-N3-M3-Rtight-S1113,N3-M3-Rtight,1,1,-0.003743404334755951,0.0,0.8609829969938696,0.0,0.0,-0.8609829969938687,0,0,-8.881784197001252e-16,0.479736328125
